epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,498.698,0.90187,0.9654,1.14471,0.7496,0.97283,0.93824,0.67237,1.03929,0.9713,1.23116,0.000424187,0.000424187,0.000424187
43,512.425,0.92599,1.00385,1.17395,0.7496,0.97283,0.93824,0.67237,1.03929,0.9713,1.23116,0.000417119,0.000417119,0.000417119
44,524.982,0.83652,0.93276,1.11141,0.74984,0.96223,0.93824,0.65716,1.06328,0.99204,1.2434,0.00041005,0.00041005,0.00041005
45,536.807,0.83497,0.89675,1.14417,0.91804,0.85127,0.91766,0.64992,1.06437,0.98265,1.23336,0.000402982,0.000402982,0.000402982
46,548.637,0.81418,0.89717,1.10684,0.96027,0.84564,0.91505,0.63065,1.08531,0.97826,1.25005,0.000395913,0.000395913,0.000395913
47,560.395,0.81205,0.92849,1.10912,0.96027,0.84564,0.91505,0.63065,1.08531,0.97826,1.25005,0.000388844,0.000388844,0.000388844
48,572.062,0.87041,0.93712,1.11014,0.98154,0.84809,0.93094,0.65186,1.07264,0.97611,1.26013,0.000381776,0.000381776,0.000381776
49,584.636,0.81849,0.90096,1.10814,0.93173,0.87916,0.93024,0.65971,1.03731,0.9547,1.24557,0.000374707,0.000374707,0.000374707
50,596.861,0.8547,0.93223,1.16689,0.95636,0.85974,0.93525,0.6774,1.01468,0.91012,1.23261,0.000367639,0.000367639,0.000367639
51,608.471,0.82767,0.86093,1.09812,0.95636,0.85974,0.93525,0.6774,1.01468,0.91012,1.23261,0.00036057,0.00036057,0.00036057
52,620.443,0.77601,0.84665,1.09587,0.96037,0.86685,0.93706,0.67996,1.00956,0.90052,1.22034,0.000353501,0.000353501,0.000353501
53,632.336,0.80533,0.87664,1.08555,0.94791,0.86692,0.995,0.71151,1.0157,0.90126,1.22559,0.000346433,0.000346433,0.000346433
54,644.221,0.77007,0.8122,1.07097,0.94643,0.85653,0.995,0.71363,1.02892,0.93125,1.23367,0.000339364,0.000339364,0.000339364
55,655.9,0.82246,0.84607,1.08922,0.94643,0.85653,0.995,0.71363,1.02892,0.93125,1.23367,0.000332296,0.000332296,0.000332296
56,667.616,0.75191,0.82931,1.07045,0.80218,1,0.995,0.72233,1.01539,0.96456,1.23323,0.000325227,0.000325227,0.000325227
57,679.819,0.77541,0.81116,1.04627,0.77447,1,0.99352,0.71714,0.99815,0.96401,1.22496,0.000318158,0.000318158,0.000318158
58,691.504,0.76202,0.8258,1.07749,0.96581,0.86172,0.99352,0.71778,0.99208,0.9605,1.22362,0.00031109,0.00031109,0.00031109
59,703.281,0.73852,0.77151,1.07612,0.96581,0.86172,0.99352,0.71778,0.99208,0.9605,1.22362,0.000304021,0.000304021,0.000304021
60,715.076,0.77651,0.79862,1.05467,0.96697,0.86649,0.99233,0.72776,0.98813,0.94529,1.22151,0.000296953,0.000296953,0.000296953
61,727.577,0.74689,0.78673,1.0484,0.97816,0.87162,0.99233,0.72081,0.99698,0.93495,1.23303,0.000289884,0.000289884,0.000289884
62,739.513,0.74708,0.76056,1.06751,0.77876,1,0.99233,0.73513,0.98631,0.89321,1.23335,0.000282815,0.000282815,0.000282815
63,751.25,0.72822,0.75717,1.04957,0.77876,1,0.99233,0.73513,0.98631,0.89321,1.23335,0.000275747,0.000275747,0.000275747
64,763.48,0.74447,0.76825,1.04503,0.77668,1,0.99233,0.74557,0.96797,0.86219,1.22852,0.000268678,0.000268678,0.000268678
65,775.464,0.74497,0.77173,1.05994,0.97623,0.8655,0.99233,0.76782,0.95404,0.84157,1.20911,0.00026161,0.00026161,0.00026161
66,787.212,0.73328,0.78392,1.03583,0.97296,0.87299,0.99233,0.75936,0.948,0.8376,1.2008,0.000254541,0.000254541,0.000254541
67,798.917,0.74105,0.78438,1.06795,0.97296,0.87299,0.99233,0.75936,0.948,0.8376,1.2008,0.000247472,0.000247472,0.000247472
68,810.844,0.72631,0.7939,1.07922,0.96944,0.86545,0.995,0.74827,0.94992,0.83168,1.20174,0.000240404,0.000240404,0.000240404
69,822.766,0.75658,0.82106,1.06109,0.96091,0.86383,0.995,0.74853,0.94526,0.83482,1.19262,0.000233335,0.000233335,0.000233335
70,834.345,0.74678,0.77744,1.04034,0.95486,0.86283,0.93972,0.70002,0.92971,0.83515,1.17497,0.000226267,0.000226267,0.000226267
71,845.706,0.76228,0.79053,1.07398,0.95486,0.86283,0.93972,0.70002,0.92971,0.83515,1.17497,0.000219198,0.000219198,0.000219198
72,857.849,0.78054,0.83618,1.08851,0.94517,0.86302,0.93706,0.6978,0.92829,0.82938,1.17654,0.000212129,0.000212129,0.000212129
73,869.508,0.72854,0.76579,1.02025,0.94265,0.86338,0.93706,0.70013,0.93899,0.84041,1.18539,0.000205061,0.000205061,0.000205061
74,881.367,0.72467,0.78214,1.05333,0.94628,0.86336,0.93706,0.69486,0.94483,0.84319,1.19001,0.000197992,0.000197992,0.000197992
75,893.115,0.74002,0.78309,1.0488,0.94628,0.86336,0.93706,0.69486,0.94483,0.84319,1.19001,0.000190924,0.000190924,0.000190924
76,904.715,0.72117,0.76909,1.05663,0.95754,0.86409,0.99136,0.72555,0.95443,0.83822,1.19173,0.000183855,0.000183855,0.000183855
77,916.602,0.74285,0.76479,1.0757,0.96411,0.86382,0.99352,0.73135,0.95793,0.82702,1.19218,0.000176786,0.000176786,0.000176786
78,928.174,0.75324,0.79679,1.06465,0.97132,0.86429,0.99352,0.73243,0.95992,0.81785,1.19559,0.000169718,0.000169718,0.000169718
79,939.697,0.68085,0.73588,1.01174,0.97132,0.86429,0.99352,0.73243,0.95992,0.81785,1.19559,0.000162649,0.000162649,0.000162649
80,951.321,0.64096,0.73107,1.03143,0.97415,0.86498,0.99352,0.74837,0.94771,0.81085,1.18813,0.000155581,0.000155581,0.000155581
81,963.604,0.68642,0.74282,1.02345,0.80569,1,0.99352,0.77079,0.9295,0.79765,1.17743,0.000148512,0.000148512,0.000148512
82,976.393,0.63367,0.72226,1.01201,0.82607,1,0.99352,0.75712,0.92448,0.79148,1.17929,0.000141443,0.000141443,0.000141443
83,988.462,0.68076,0.71675,1.02367,0.82607,1,0.99352,0.75712,0.92448,0.79148,1.17929,0.000134375,0.000134375,0.000134375
84,1000.86,0.69918,0.72324,1.04509,0.83536,1,0.99191,0.75711,0.92835,0.78874,1.18963,0.000127306,0.000127306,0.000127306
85,1013.06,0.72676,0.74515,1.05597,0.84092,1,0.99191,0.76978,0.93502,0.7825,1.20136,0.000120238,0.000120238,0.000120238
86,1024.7,0.73334,0.75258,1.04093,0.83765,1,0.99191,0.77209,0.94798,0.78593,1.21546,0.000113169,0.000113169,0.000113169
87,1036.52,0.67624,0.71027,1.02307,0.83765,1,0.99191,0.77209,0.94798,0.78593,1.21546,0.0001061,0.0001061,0.0001061
88,1048.4,0.65365,0.71553,1.00472,0.81942,1,0.99191,0.75409,0.96077,0.7858,1.23158,9.90318e-05,9.90318e-05,9.90318e-05
89,1060.26,0.65173,0.69857,1.02952,0.80044,1,0.99191,0.74437,0.96957,0.78379,1.23972,9.19632e-05,9.19632e-05,9.19632e-05
90,1072.37,0.64784,0.69787,1.0281,0.97609,0.86111,0.99191,0.75132,0.97336,0.78422,1.2363,8.48946e-05,8.48946e-05,8.48946e-05
91,1084.07,0.6235,0.76753,1.01249,0.97609,0.86111,0.99191,0.75132,0.97336,0.78422,1.2363,7.7826e-05,7.7826e-05,7.7826e-05
92,1095.95,0.60465,0.75569,1.02965,0.97333,0.86111,0.99191,0.75477,0.97006,0.77437,1.23504,7.07574e-05,7.07574e-05,7.07574e-05
93,1107.5,0.58999,0.74509,1.00766,0.97212,0.86111,0.99191,0.7453,0.95951,0.7751,1.21965,6.36888e-05,6.36888e-05,6.36888e-05
94,1119.12,0.60907,0.72066,1.02067,0.97131,0.86111,0.99191,0.74198,0.95281,0.78041,1.21304,5.66202e-05,5.66202e-05,5.66202e-05
95,1130.43,0.61167,0.73064,1.02188,0.97131,0.86111,0.99191,0.74198,0.95281,0.78041,1.21304,4.95516e-05,4.95516e-05,4.95516e-05
96,1141.86,0.59207,0.74369,0.97366,0.97332,0.86111,0.99191,0.75004,0.95044,0.78732,1.20828,4.2483e-05,4.2483e-05,4.2483e-05
97,1153.43,0.59905,0.7211,1.00067,0.97574,0.86111,0.99191,0.74207,0.95003,0.79356,1.20738,3.54144e-05,3.54144e-05,3.54144e-05
98,1164.88,0.59926,0.71435,0.98614,0.97616,0.86111,0.99191,0.74131,0.94708,0.79744,1.20632,2.83458e-05,2.83458e-05,2.83458e-05
99,1176.16,0.62611,0.70264,1.04342,0.97616,0.86111,0.99191,0.74131,0.94708,0.79744,1.20632,2.12772e-05,2.12772e-05,2.12772e-05
100,1187.98,0.58154,0.70874,0.99449,0.9772,0.86111,0.99191,0.74265,0.94661,0.79225,1.20507,1.42086e-05,1.42086e-05,1.42086e-05
