epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4517,1.29896,3.7888,1.53594,0.01132,0.70463,0.14606,0.05639,1.5462,4.15774,1.84079,0.00015708,0.00015708,0.00015708
2,98.5521,1.2667,3.38475,1.47267,0.01838,0.77778,0.30178,0.16903,1.35937,3.62955,1.46689,0.000318119,0.000318119,0.000318119
3,144.606,1.24112,2.88522,1.50086,0.67322,0.15833,0.44446,0.27698,1.27872,3.25247,1.60052,0.000475907,0.000475907,0.000475907
4,190.484,1.22573,2.42478,1.48056,0.59864,0.41617,0.54833,0.33404,1.30456,2.5073,1.6207,0.000630443,0.000630443,0.000630443
5,237.152,1.21778,2.05844,1.45314,0.67973,0.56178,0.71198,0.41953,1.34737,2.31265,1.67857,0.000685726,0.000685726,0.000685726
6,284.47,1.20944,1.90933,1.46485,0.60913,0.63619,0.68544,0.43951,1.31957,2.01035,1.65131,0.000678657,0.000678657,0.000678657
7,334.965,1.20165,1.83615,1.43699,0.87692,0.49641,0.69787,0.47014,1.17043,1.82492,1.47514,0.000671588,0.000671588,0.000671588
8,386.975,1.17623,1.75914,1.41511,0.67781,0.65335,0.74713,0.50426,1.14974,1.88781,1.45897,0.00066452,0.00066452,0.00066452
9,439.26,1.19997,1.74457,1.41314,0.84854,0.72794,0.84698,0.52745,1.2593,1.57327,1.59664,0.000657451,0.000657451,0.000657451
10,485.589,1.13409,1.62306,1.38165,0.80266,0.82335,0.83137,0.53784,1.20482,1.36064,1.52749,0.000650383,0.000650383,0.000650383
11,531.529,1.12412,1.53289,1.37367,0.92567,0.81926,0.85441,0.5184,1.19046,1.8105,1.52231,0.000643314,0.000643314,0.000643314
12,576.592,1.13134,1.48572,1.35703,0.78463,0.77538,0.83765,0.52967,1.14405,1.40113,1.49891,0.000636245,0.000636245,0.000636245
13,620.319,1.12302,1.47444,1.36825,0.80811,0.79796,0.83793,0.56704,1.14192,1.34017,1.45698,0.000629177,0.000629177,0.000629177
14,666.2,1.13866,1.39893,1.34264,0.94901,0.81262,0.86303,0.55945,1.20691,1.26578,1.54236,0.000622108,0.000622108,0.000622108
15,710.219,1.08076,1.49332,1.3356,0.89532,0.77949,0.86217,0.5616,1.1472,1.29171,1.50387,0.00061504,0.00061504,0.00061504
16,754.582,1.1298,1.45556,1.33163,0.97082,0.80325,0.885,0.57932,1.10241,1.14544,1.48201,0.000607971,0.000607971,0.000607971
17,798.914,1.0694,1.38364,1.29502,0.88988,0.82557,0.86783,0.56754,1.11574,1.28226,1.47562,0.000600902,0.000600902,0.000600902
18,843.291,1.05591,1.40463,1.30606,0.92288,0.87339,0.87556,0.58952,1.10344,1.12534,1.44244,0.000593834,0.000593834,0.000593834
19,889.096,1.01629,1.276,1.26436,0.94661,0.85389,0.87738,0.60933,1.09015,1.18029,1.37396,0.000586765,0.000586765,0.000586765
20,936.082,1.01066,1.29221,1.25986,0.74404,0.85118,0.87601,0.59179,1.13814,1.1883,1.46124,0.000579697,0.000579697,0.000579697
21,980.973,1.03901,1.30066,1.29391,0.92391,0.84034,0.89945,0.61701,1.17757,1.17779,1.53772,0.000572628,0.000572628,0.000572628
22,1025.6,1.01822,1.23552,1.26349,0.90314,0.83845,0.98192,0.64057,1.16574,1.10904,1.49996,0.000565559,0.000565559,0.000565559
23,1069.49,1.00909,1.19458,1.26588,0.86065,0.8598,0.9844,0.67729,1.12368,1.02894,1.50024,0.000558491,0.000558491,0.000558491
24,1114.18,1.03932,1.22125,1.28939,0.90614,0.87937,0.99043,0.69021,1.0658,1.03601,1.42156,0.000551422,0.000551422,0.000551422
25,1157.52,0.99279,1.18502,1.26503,0.86124,0.83735,0.93207,0.66899,1.0389,1.07117,1.34554,0.000544354,0.000544354,0.000544354
26,1201.72,1.00619,1.17997,1.26033,0.79284,1,0.995,0.71697,1.00848,0.96827,1.35542,0.000537285,0.000537285,0.000537285
27,1246.25,0.96947,1.13946,1.24738,0.90963,0.86526,0.99352,0.69918,1.11049,0.93021,1.41879,0.000530216,0.000530216,0.000530216
28,1290.31,0.97115,1.09627,1.24236,0.93483,0.97042,0.995,0.72046,1.01392,0.85641,1.32332,0.000523148,0.000523148,0.000523148
29,1333.55,0.96184,1.11026,1.22691,0.81479,1,0.99043,0.69609,1.03498,0.90217,1.35823,0.000516079,0.000516079,0.000516079
30,1377.63,0.93056,1.10988,1.20695,0.95139,0.8514,0.93824,0.666,1.04368,0.93812,1.34631,0.000509011,0.000509011,0.000509011
31,1422.2,0.91923,1.05237,1.19648,0.92311,0.85834,0.92594,0.65806,0.99487,0.8862,1.31557,0.000501942,0.000501942,0.000501942
32,1465.82,0.8945,1.02548,1.18725,0.79824,0.98611,0.99053,0.71358,1.06748,0.85424,1.38299,0.000494873,0.000494873,0.000494873
33,1509.66,0.88546,1.01411,1.19219,0.84426,0.99163,0.99233,0.72162,1.0489,0.85472,1.31759,0.000487805,0.000487805,0.000487805
34,1555.14,0.93338,0.98991,1.19832,0.90923,0.95985,0.97573,0.73289,0.97565,0.82263,1.28114,0.000480736,0.000480736,0.000480736
35,1612.91,0.87147,1.05143,1.17811,0.87518,0.96409,0.98682,0.74751,0.97673,0.83883,1.2872,0.000473668,0.000473668,0.000473668
36,1669.5,0.90935,0.99197,1.15859,0.90509,0.92496,0.98754,0.72369,0.969,0.83835,1.2666,0.000466599,0.000466599,0.000466599
37,1721.44,0.90539,1.06017,1.19713,0.92951,0.93619,0.98883,0.7373,0.96133,0.79583,1.25729,0.00045953,0.00045953,0.00045953
38,1768.48,0.88212,0.98655,1.18109,0.95249,0.9274,0.99246,0.72566,0.97649,0.7839,1.26361,0.000452462,0.000452462,0.000452462
39,1812.84,0.90142,0.96634,1.20418,0.84618,0.98566,0.98907,0.73573,0.96908,0.80139,1.29385,0.000445393,0.000445393,0.000445393
40,1860.57,0.91014,1.02068,1.21561,0.95973,0.8964,0.97913,0.71906,0.99745,0.8259,1.29063,0.000438325,0.000438325,0.000438325
41,1909.38,0.87093,0.98679,1.1874,0.89267,0.98148,0.99246,0.72712,1.02138,0.80136,1.28652,0.000431256,0.000431256,0.000431256
42,1955.08,0.85797,0.99629,1.15682,0.94424,0.85803,0.93454,0.67453,0.99556,0.86721,1.30497,0.000424187,0.000424187,0.000424187
43,2008.76,0.86827,0.94296,1.16318,0.915,0.87111,0.93231,0.69958,0.94106,0.84656,1.2596,0.000417119,0.000417119,0.000417119
